dataset,material,band_lo_cm1,band_hi_cm1,extrema_count,spacing_mad_cm1,fft_um,extrema_um,fft_extrema_rel_diff_pct,passes_filters,selected
sic_10,SiC,1500.0,3000.0,11,4.339999999999691,7.8639968713858535,7.979094130302073,1.4529646885693845,False,False
sic_10,SiC,1100.0,3500.0,19,6.267999999999574,8.191005178412144,7.989254550737919,2.4937872574536595,False,False
sic_10,SiC,1200.0,4000.0,22,4.821999999999775,7.723834364723475,7.882600216478686,2.034620411588992,False,True
sic_10,SiC,1100.0,4000.0,23,5.78699999999958,8.13462818516422,7.905072798931993,2.862339970799161,False,False
sic_15,SiC,1500.0,3000.0,11,9.642000000000053,7.886469525194271,7.83455516503672,0.6604449923650381,False,False
sic_15,SiC,1100.0,3500.0,19,10.606999999999971,8.214412311798371,7.954759387121137,3.2117034751333047,False,False
sic_15,SiC,1200.0,4000.0,22,13.016999999999939,7.745906481306273,7.791441164588415,0.5861320003890524,True,True
sic_15,SiC,1100.0,4000.0,23,13.499999999999545,8.15787421209622,7.82961579948612,4.106440878115176,False,False
si_10,Si,1500.0,3000.0,8,28.685499999999934,3.9049670671699266,3.5905918803364845,8.388305369488878,False,False
si_10,Si,1000.0,3500.0,11,16.874999999999773,3.514470360452934,3.4407383308873074,2.12019603832818,False,False
si_10,Si,1200.0,4000.0,13,15.911000000000286,3.6610327114585632,3.4025463670816682,7.3188490283119805,False,True
si_10,Si,1000.0,4000.0,14,17.838500000000067,3.416846183773686,3.4123788196891836,0.13083077749634242,False,False
si_15,Si,1500.0,3000.0,9,73.28200000000015,3.911146240666602,4.433881979844,12.52807600800213,False,False
si_15,Si,1000.0,3500.0,13,16.39300000000003,3.520031616599942,3.43473233469623,2.4529741771556335,False,False
si_15,Si,1200.0,4000.0,13,13.500000000000455,3.142993616681712,3.410467690554108,8.162833694526334,False,True
si_15,Si,1000.0,4000.0,14,20.7320000000002,3.422252960583277,3.4373219633066983,0.43935674996244833,False,False
