dataset,region,lo_cm1,hi_cm1,role,point_count,R_mean_pct,R_min_pct,R_max_pct,R_std_pct,mean_abs_dR_dnu
sic_10,400-797,400.0,797.0,普通反射区,824,35.72321180082524,21.31739042,86.06954548,11.207679041086084,0.10743747366196597
sic_10,797-1000,797.0,1000.0,Reststrahlen/声子强吸收,421,80.71319039676249,2.829861503,95.38499492,29.099315627204984,0.2513781334349103
sic_10,1000-1100,1000.0,1100.0,吸收谷底,207,5.241848182053139,0.636093383,9.439426131,3.0888811001968146,0.07572570784783708
sic_10,1100-1200,1100.0,1200.0,过渡区（干涉刚恢复）,208,8.968859583211538,6.542357128,13.08885867,2.1911904073811934,0.04072112721309202
sic_10,1200-4000,1200.0,4000.0,透明干涉主区,5807,17.20782804633718,11.41959803,18.68479073,1.5653573310837445,0.005212553612790426
sic_10,1100-4000,1100.0,4000.0,原 dev 默认窗,6015,16.922922736224105,6.542357128,18.68479073,2.1903870701647326,0.006440995759317652
sic_15,400-797,400.0,797.0,普通反射区,824,38.85779637996359,23.35668326,92.24365575,11.755836015730168,0.11596633370943288
sic_15,797-1000,797.0,1000.0,Reststrahlen/声子强吸收,421,86.56752829931592,3.008029103,102.7393552,31.11881402375883,0.2771744111814264
sic_15,1000-1100,1000.0,1100.0,吸收谷底,207,5.524886357613525,0.976744442,10.72825076,3.2452125706979613,0.08502673722344804
sic_15,1100-1200,1100.0,1200.0,过渡区（干涉刚恢复）,208,9.40445035895673,7.294180622,13.45820193,1.8546956169257454,0.042367838826323924
sic_15,1200-4000,1200.0,4000.0,透明干涉主区,5807,18.016500036364732,12.32064056,19.74900899,1.607441278697582,0.0053911459790541
sic_15,1100-4000,1100.0,4000.0,原 dev 默认窗,6015,17.718693497229093,7.294180622,19.74900899,2.255993148248147,0.006668624887845308
